Restaurant,Name,Address,Postcode,cityname,statename,countryname,City,State,Country
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Broad%20Street%20Cafe,Broad Street Cafe,562 Broad St,7102,Newark,DE,US,http://dbpedia.org/resource/Newark,http://dbpedia.org/resource/DE,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Broad%20Street%20Cafe,Broad Street Cafe,562 Broad St,7102,Newark,Midtown,US,http://dbpedia.org/resource/Newark,http://dbpedia.org/resource/Midtown,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Broad%20Street%20Cafe,Broad Street Cafe,562 Broad St,7102,Newark,OH,US,http://dbpedia.org/resource/Newark,http://dbpedia.org/resource/OH,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Calabria%20Restaurant,Calabria Restaurant,80 S Main St,10956,New City,NY,US,http://dbpedia.org/resource/New_City,http://dbpedia.org/resource/NY,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Calabria%20Restaurant,Calabria Restaurant,80 S Main St,10956,New City,NY,US,http://dbpedia.org/resource/New_City,http://dbpedia.org/resource/NY,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Ciao%20Bella,Ciao Bella,1514 Us 41,46375,Schererville,IN,US,http://dbpedia.org/resource/Schererville,http://dbpedia.org/resource/IN,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Davanti%20Enoteca%20-%20Little%20Italy,Davanti Enoteca - Little Italy,1655 India St,92101,San Diego,CA,US,http://dbpedia.org/resource/San_Diego,http://dbpedia.org/resource/CA,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Famous%20Famiglia,Famous Famiglia,757 Broadway,10003,New York,Manhattan,US,http://dbpedia.org/resource/New_York,http://dbpedia.org/resource/Category:Manhattan,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Famous%20Famiglia,Famous Famiglia,757 Broadway,10003,New York,New York City,US,http://dbpedia.org/resource/New_York,http://dbpedia.org/resource/Category:New_York_City,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Famous%20Famiglia,Famous Famiglia,757 Broadway,10003,New York,Manhattanville,US,http://dbpedia.org/resource/New_York,http://dbpedia.org/resource/Manhattanville,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Famous%20Famiglia,Famous Famiglia,757 Broadway,10003,New York,NY,US,http://dbpedia.org/resource/New_York,http://dbpedia.org/resource/NY,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Famous%20Famiglia,Famous Famiglia,757 Broadway,10003,New York,Ny,US,http://dbpedia.org/resource/New_York,http://dbpedia.org/resource/Ny,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Famous%20Famiglia,Famous Famiglia,757 Broadway,10003,New York,Nyc,US,http://dbpedia.org/resource/New_York,http://dbpedia.org/resource/Nyc,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Famous%20Famiglia,Famous Famiglia,757 Broadway,10003,New York,G P O,US,http://dbpedia.org/resource/New_York,http://www.city.ac.uk/ds/inm713/hadi_ghasemi/states/G%20P%20O,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Geno%27s%20Deli,Geno's Deli,1751 Scottsville Rd,42104,Bowling Green,KY,US,http://dbpedia.org/resource/Bowling_Green,http://dbpedia.org/resource/KY,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Good%20Fella%27s%20Pizza,Good Fella's Pizza,9641 Olio Rd,46055,Mc Cordsville,Woodbury,US,http://www.city.ac.uk/ds/inm713/hadi_ghasemi/cities/Mc%20Cordsville,http://dbpedia.org/resource/Woodbury,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Jerry%27s%20Pizza%20%26%20Subs,Jerry's Pizza & Subs,924 W 436,32714,Altamonte Springs,FL,US,http://dbpedia.org/resource/Altamonte_Springs,http://dbpedia.org/resource/FL,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Joe%27s%20New%20York%20Pizza%20Pasta,Joe's New York Pizza Pasta,1070 Palm Coast Pkwy Nw,32137,Palm Coast,FL,US,http://dbpedia.org/resource/Palm_Coast,http://dbpedia.org/resource/FL,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Joey%20D%27s%20Italian%20Grill,Joey D's Italian Grill,114 Pleasant St,1945,Marblehead,MA,US,http://dbpedia.org/resource/Marblehead,http://dbpedia.org/resource/MA,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Kaydee%20Kats%21,Kaydee Kats!,4109 N Prospect Rd,61616,Peoria Heights,IL,US,http://dbpedia.org/resource/Peoria_Heights,http://dbpedia.org/resource/IL,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Lil%27%20Frankie%27s,Lil' Frankie's,19 First Ave,10003,New York,Manhattan,US,http://dbpedia.org/resource/New_York,http://dbpedia.org/resource/Category:Manhattan,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Lil%27%20Frankie%27s,Lil' Frankie's,19 First Ave,10003,New York,New York City,US,http://dbpedia.org/resource/New_York,http://dbpedia.org/resource/Category:New_York_City,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Lil%27%20Frankie%27s,Lil' Frankie's,19 First Ave,10003,New York,Manhattanville,US,http://dbpedia.org/resource/New_York,http://dbpedia.org/resource/Manhattanville,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Lil%27%20Frankie%27s,Lil' Frankie's,19 First Ave,10003,New York,NY,US,http://dbpedia.org/resource/New_York,http://dbpedia.org/resource/NY,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Lil%27%20Frankie%27s,Lil' Frankie's,19 First Ave,10003,New York,Ny,US,http://dbpedia.org/resource/New_York,http://dbpedia.org/resource/Ny,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Lil%27%20Frankie%27s,Lil' Frankie's,19 First Ave,10003,New York,Nyc,US,http://dbpedia.org/resource/New_York,http://dbpedia.org/resource/Nyc,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Lil%27%20Frankie%27s,Lil' Frankie's,19 First Ave,10003,New York,G P O,US,http://dbpedia.org/resource/New_York,http://www.city.ac.uk/ds/inm713/hadi_ghasemi/states/G%20P%20O,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/Little%20Pizza%20Paradise,Little Pizza Paradise,Cascade Village Mall Across From Target,97701,Bend,OR,US,http://dbpedia.org/resource/Bend,http://dbpedia.org/resource/OR,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/North%20End%20Pizzeria,North End Pizzeria,11628 Santa Monica Blvd,90025,Los Angeles,Bicentennial,US,http://dbpedia.org/resource/Los_Angeles,http://dbpedia.org/resource/Bicentennial,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/North%20End%20Pizzeria,North End Pizzeria,11628 Santa Monica Blvd,90025,Los Angeles,CA,US,http://dbpedia.org/resource/Los_Angeles,http://dbpedia.org/resource/CA,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/North%20End%20Pizzeria,North End Pizzeria,11628 Santa Monica Blvd,90025,Los Angeles,Brentwood,US,http://dbpedia.org/resource/Los_Angeles,http://dbpedia.org/resource/Category:Brentwood,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/North%20End%20Pizzeria,North End Pizzeria,11628 Santa Monica Blvd,90025,Los Angeles,Los Feliz,US,http://dbpedia.org/resource/Los_Angeles,http://dbpedia.org/resource/Los_Feliz,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/North%20End%20Pizzeria,North End Pizzeria,11628 Santa Monica Blvd,90025,Los Angeles,Arco-plaza,US,http://dbpedia.org/resource/Los_Angeles,http://www.city.ac.uk/ds/inm713/hadi_ghasemi/states/Arco-plaza,http://dbpedia.org/resource/US
http://www.city.ac.uk/ds/inm713/hadi_ghasemi/restaurant/North%20End%20Pizzeria,North End Pizzeria,11628 Santa Monica Blvd,90025,Los Angeles,Wla,US,http://dbpedia.org/resource/Los_Angeles,http://www.city.ac.uk/ds/inm713/hadi_ghasemi/states/Wla,http://dbpedia.org/resource/US
